Rank,Release Group,Worldwide,Domestic,%,Foreign,%
148,Tati Part Time,"$2,343,561",-,-,"$2,343,561",100%
149,Premalu,"$2,342,985",-,-,"$2,342,985",100%
150,White Bird,"$2,338,344",-,-,"$2,338,344",100%
151,Bonnard: Pierre & Marthe,"$2,313,717",-,-,"$2,313,717",100%
152,Atatürk 1881 - 1919 Film 2 Release,"$2,283,108",-,-,"$2,283,108",100%
153,10 Lives,"$2,275,533",-,-,"$2,275,533",100%
154,Picnic,"$2,273,695",-,-,"$2,273,695",100%
155,Tillu Square,"$2,250,679","$1,870,000",83.1%,"$380,679",16.9%
156,It's Raining Men,"$2,212,690",-,-,"$2,212,690",100%
157,Menudas piezas,"$2,142,999",-,-,"$2,142,999",100%
158,Race for Glory: Audi vs. Lancia,"$2,116,048",-,-,"$2,116,048",100%
159,Don't Lose Your Head!,"$2,113,320",-,-,"$2,113,320",100%
160,Anyone But Her,"$2,110,306",-,-,"$2,110,306",100%
161,The Ark and the Darkness,"$2,097,560","$2,097,560",100%,-,-
162,Aristokratka ve varu,"$2,035,808",-,-,"$2,035,808",100%
163,Et plus si affinités,"$2,016,318",-,-,"$2,016,318",100%
164,Out of Darkness,"$1,987,281","$1,951,547",98.2%,"$35,734",1.8%
165,Nedelja,"$1,905,017",-,-,"$1,905,017",100%
166,Salle des profs,"$1,855,403",-,-,"$1,855,403",100%
167,Giants of la Mancha,"$1,848,106",-,-,"$1,848,106",100%
168,YA - medved,"$1,842,294",-,-,"$1,842,294",100%
169,Un altro Ferragosto,"$1,816,797",-,-,"$1,816,797",100%
170,Love You as the World Ends: Episode #4.5,"$1,814,466",-,-,"$1,814,466",100%
171,Komandir,"$1,808,588",-,-,"$1,808,588",100%
172,Valley of Shadows,"$1,805,813",-,-,"$1,805,813",100%
173,Escape from Germany,"$1,797,503","$1,797,503",100%,-,-
174,Borgo,"$1,758,649",-,-,"$1,758,649",100%
175,Adam & Eve,"$1,752,038",-,-,"$1,752,038",100%
176,The Courier,"$1,751,343",-,-,"$1,751,343",100%
177,18×2 Beyond Youthful Days,"$1,749,010",-,-,"$1,749,010",100%
178,Kardes Takimi,"$1,748,615",-,-,"$1,748,615",100%
179,La ferme des Bertrand,"$1,719,910",-,-,"$1,719,910",100%
